_key,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Afghanistan,11088731,9821561,7035871,4534646,2963460,1840199,1057497,480455,105925
Albania,333832,361777,472678,390771,323020,386091,330244,194668,84716
Algeria,9677492,6731745,6573711,7275234,5448620,3800054,2530543,1237832,575811
Angola,10899167,7881777,5306039,3699729,2412736,1464604,785896,331730,84594
Antigua and Barbuda,14582,13868,14895,14095,13860,12832,8042,4101,1654
Argentina,7446465,7136712,6997584,6441412,5727746,4424939,3528743,2300637,1191536
Armenia,418860,368930,408926,503954,353090,362654,328401,126744,91684
Aruba,11758,14010,14980,11241,14271,17207,13753,6956,2590
Australia,3308972,3130480,3375453,3718346,3306061,3107734,2651187,1846377,1055274
Austria,874182,876207,1115378,1243414,1178265,1407001,1033318,790436,488197
Azerbaijan,1686038,1335455,1608982,1766690,1280804,1281076,804312,242762,133058
Bahamas,53654,63795,66571,55456,56498,49219,29427,13644,4980
Bahrain,218134,181855,306667,507735,256720,140231,66573,17815,5845
Bangladesh,28972611,30674421,29765032,26511633,20651269,15005706,7296839,4095813,1716059
Barbados,30617,36514,37578,37124,39068,39936,33573,20154,12811
Belarus,1143840,928884,1077804,1530347,1285399,1345792,1243251,525562,368444
Belgium,1302703,1312253,1386087,1504000,1518439,1598741,1369875,939415,658110
Belize,78107,77850,75822,59711,43959,31811,17817,8310,4240
Benin,3596952,2779488,2061769,1436440,981831,650680,379184,184835,52021
Bhutan,125825,135992,153315,138679,89605,59011,36910,22235,10036
Bolivia (Plurinational State of),2364587,2297693,2039536,1639098,1238341,883592,615318,391940,202916
Bosnia and Herzegovina,295215,346276,403273,458386,447738,500181,463795,242499,123456
Botswana,539004,472033,402508,365289,261017,146580,104252,48560,12384
Brazil,29076912,31160447,34104644,34476764,29462008,24421199,16896864,8801551,4159028
Brunei Darussalam,66355,65082,69697,76569,68004,50218,28512,9570,3471
Bulgaria,649382,685881,689917,957591,1061986,944703,922593,710368,326024
Burkina Faso,6552186,5029543,3508067,2428031,1587132,977489,538877,234236,47712
Burundi,3872449,2725292,2029583,1539545,747634,491973,339630,112127,32551
Cabo Verde,105077,99937,97847,98288,64905,47913,26368,9054,6598
Cambodia,3530588,3100069,3117605,2889268,1429088,1387484,816774,352443,95646
Cameroon,7846025,6176460,4551789,3399844,2141843,1288476,733298,332733,75395
Canada,3970918,3971318,5096615,5278663,4846667,5182430,4712746,3018677,1664120
Central African Republic,1435610,1264610,839989,501334,339531,232597,139061,61505,15530
Chad,5452555,4038729,2781016,1769644,1082834,654647,417351,180661,48427
Channel Islands,17565,17778,21767,23888,24915,26180,20014,13295,8461
Chile,2428078,2493875,2995538,2945403,2578406,2352271,1791785,993127,537718
China,170667621,166604608,185147173,228830425,216111764,222185873,151663904,71494306,26618102
"China, Hong Kong Special Administrative Region",664195,552658,867629,1122165,1129131,1207906,1048879,525082,379336
"China, Macao Special Administrative Region",68816,46834,88333,129800,93400,99614,78993,29881,13664
Colombia,7414157,8119877,8847062,7810299,6450787,5543982,3771360,1979762,945605
Comoros,237638,191272,150847,117375,77037,50890,29657,11660,3225
Congo,1592333,1257962,874259,680079,535815,327893,164736,69397,15613
Costa Rica,705597,718839,824456,825655,650563,602394,423012,230865,112737
Croatia,385776,408108,472201,539290,557001,581382,565376,361956,234177
Cuba,1199375,1246736,1421019,1523032,1561981,1967294,1174022,804207,428950
Curaçao,19332,21569,19539,18724,20279,24425,20705,13003,6517
Cyprus,132391,141658,191801,188388,166627,147538,120401,78681,39873
Czechia,1113645,1061333,1105336,1478211,1798356,1351269,1324617,1031099,445115
Côte d’Ivoire,7750285,6104859,4660993,3172218,2117549,1337227,822065,341744,71333
Democratic People's Republic of Korea,3430376,3561227,3925716,3641896,3714317,3622786,2134680,1303957,443861
Democratic Republic of the Congo,29487305,21000019,14169239,9762333,6605529,4347003,2585842,1268687,335446
Denmark,606028,675946,775962,672290,738209,810126,654530,586139,272972
Djibouti,197110,179320,177326,162418,120923,78074,44336,22330,6163
Dominican Republic,1999349,1935877,1854317,1564383,1274489,1014335,682138,341500,181522
Ecuador,3277730,3115981,3036186,2592840,2088240,1591141,1087740,570125,283071
Egypt,25028540,18385431,16511130,15198348,10948603,7844894,5122656,2530981,763821
El Salvador,1146823,1165823,1215815,882443,725144,568072,406296,248393,127396
Equatorial Guinea,371662,265295,286389,248982,115361,62216,34879,14719,3482
Eritrea,971768,860627,572233,460764,280838,171949,128327,77079,22836
Estonia,143661,137487,145554,193631,184936,165282,169473,107430,79081
Eswatini,286620,277020,212889,161329,104399,51716,36524,22581,7086
Ethiopia,32037548,26828994,21439043,13792878,9038652,5704067,3624557,1929368,568479
Fiji,177143,158135,141943,134953,106524,91436,57120,23633,5558
Finland,568681,606659,672353,706581,659560,720555,712327,582988,311016
France,7527473,7883476,7371030,8011050,8325670,8635055,7764785,5727704,4027268
French Guiana,66122,57555,46109,38719,36992,26711,17226,7221,2027
French Polynesia,39637,44133,40379,43366,39589,35650,23042,10823,4289
Gabon,600005,422773,367412,350071,232167,134150,71303,36691,11162
Gambia,762307,556857,429180,283130,174068,115915,59281,30007,5923
Georgia,553163,471056,500696,565077,517944,523623,459856,248784,148968
Germany,7880902,7930616,9377359,10872019,10243351,13488393,10644140,7471414,5875748
Ghana,8057871,6616719,5398591,4190417,3031249,2134980,1091069,456786,95258
Greece,881128,1068855,1057214,1336517,1574408,1505692,1257161,956084,785994
Grenada,18132,16137,18288,18211,12874,12146,9573,4789,2373
Guadeloupe,44992,58514,46875,33762,49307,62202,50569,32942,20961
Guam,26981,27159,27031,21837,19935,20162,14330,7777,3563
Guatemala,4047466,3871605,3413158,2532063,1701991,1053821,718853,382505,194106
Guinea,3965625,3199454,2365739,1470866,898439,614523,408149,171250,38750
Guinea-Bissau,582349,450031,342383,254507,156574,92190,60417,24637,4913
Guyana,147626,145351,145302,93113,90525,79336,51355,22936,11008
Haiti,2500777,2346528,2044459,1731657,1106487,789624,523931,260217,98848
Honduras,2005992,2064637,1905416,1470935,1047736,680012,420079,205312,104488
Hungary,908567,969206,1151691,1257140,1588213,1201387,1306434,846578,431135
Iceland,43070,44710,47796,46869,42966,42112,37536,23413,12771
India,234861633,252201517,239902073,215636276,169660176,128132229,87150813,39175398,13284270
Indonesia,47956444,46303002,43571426,41166623,37846723,29155099,17531210,7574475,2418613
Iran (Islamic Republic of),14565855,11747928,12342906,16739444,11655616,8295330,5396906,2354607,894357
Iraq,10610228,8710756,7165589,5403684,3936617,2341151,1292393,573718,188357
Ireland,671943,668746,567336,695926,763226,600934,480783,330663,158229
Israel,1671094,1405063,1196974,1122245,1040178,795495,703645,459660,261181
Italy,4994996,5733447,6103437,6998434,9022004,9567192,7484860,6028907,4528548
Jamaica,464791,466600,515497,443384,357431,320532,214542,119523,58867
Japan,10179968,11267171,12147325,14455415,18473078,16541516,15875236,16185375,11351377
Jordan,2212563,2179854,1802535,1490607,1141344,755593,366276,190748,63614
Kazakhstan,3868009,2720923,2573190,2993496,2286423,2039442,1438908,552508,303808
Kenya,14013908,12746880,9594275,7470149,4903045,2805603,1518824,574335,144277
Kiribati,29464,23634,20524,16606,11169,9988,5143,2331,590
Kuwait,608328,533225,444882,878557,965368,561299,220263,48552,10095
Kyrgyzstan,1529449,1100700,1082940,1014707,686437,581436,363825,111215,53484
Lao People's Democratic Republic,1566742,1466251,1362624,1086530,772683,526580,317973,136165,40012
Latvia,207770,188723,188221,263219,253889,264241,250143,162705,107287
Lebanon,1152160,1134997,1176573,1009647,862746,724776,447766,211573,105207
Lesotho,478747,428822,395193,327280,210253,140769,96810,48309,16066
Liberia,1418817,1175027,840855,629808,444196,283827,168470,76455,20226
Libya,1285422,1185747,1095417,1163468,1049198,617153,284261,138926,51700
Lithuania,300673,242840,316879,337567,355907,420559,352811,223282,171771
Luxembourg,65905,65903,85535,98316,94599,90857,62121,37874,24867
Madagascar,7762934,6342928,4898736,3370908,2387857,1539765,915207,359863,112819
Malawi,5662517,4738054,3377519,2286024,1436743,846147,480251,244240,58457
Malaysia,5143191,5115769,5770367,5651218,3990530,3146037,2151364,1025182,372341
Maldives,72820,59438,139684,137607,64647,35317,18164,8467,4400
Mali,6760318,5009462,3203821,2160455,1485960,849115,501293,231083,49326
Malta,43103,40926,55214,65354,59448,53214,57678,45166,21440
