location,time,cases,deaths
BRA-Amazonas,2020-03-24,47,1
BRA-Amazonas,2020-03-25,54,1
BRA-Amazonas,2020-03-26,67,1
BRA-Goiás,2020-03-26,38,1
BRA-Pernambuco,2020-03-25,46,1
BRA-Pernambuco,2020-03-26,46,3
BRA-Rio Grande do Sul,2020-03-25,162,1
BRA-Rio Grande do Sul,2020-03-26,190,1
BRA-Santa Catarina,2020-03-26,149,1
BRA-São Paulo,2020-03-17,164,1
BRA-São Paulo,2020-03-18,240,3
BRA-São Paulo,2020-03-19,286,5
BRA-São Paulo,2020-03-20,396,9
BRA-São Paulo,2020-03-21,396,15
BRA-São Paulo,2020-03-22,631,22
BRA-São Paulo,2020-03-23,745,30
BRA-São Paulo,2020-03-24,810,40
BRA-São Paulo,2020-03-25,862,48
BRA-São Paulo,2020-03-26,1052,58
BRA-Rio de Janeiro,2020-03-19,66,2
BRA-Rio de Janeiro,2020-03-21,119,3
BRA-Rio de Janeiro,2020-03-22,186,3
BRA-Rio de Janeiro,2020-03-23,233,4
BRA-Rio de Janeiro,2020-03-24,305,6
BRA-Rio de Janeiro,2020-03-25,370,8
FRA-Ile-de-France,2020-03-06,131,1
FRA-Ile-de-France,2020-03-07,161,1
FRA-Ile-de-France,2020-03-08,226,1
FRA-Ile-de-France,2020-03-09,283,1
FRA-Ile-de-France,2020-03-10,334,4
FRA-Ile-de-France,2020-03-11,512,4
FRA-Ile-de-France,2020-03-12,605,4
FRA-Ile-de-France,2020-03-18,2693,36
FRA-Ile-de-France,2020-03-19,3384,56
FRA-Ile-de-France,2020-03-20,3818,99
FRA-Ile-de-France,2020-03-21,4695,122
FRA-Ile-de-France,2020-03-22,5283,140
FRA-Ile-de-France,2020-03-23,6211,193
FRA-Ile-de-France,2020-03-24,6798,262
FRA-Ile-de-France,2020-03-25,7660,357
FRA-Nouvelle-Aquitaine,2020-03-15,152,2
FRA-Nouvelle-Aquitaine,2020-03-16,179,2
FRA-Nouvelle-Aquitaine,2020-03-17,207,2
FRA-Nouvelle-Aquitaine,2020-03-18,242,2
FRA-Nouvelle-Aquitaine,2020-03-19,305,3
FRA-Nouvelle-Aquitaine,2020-03-20,432,4
FRA-Nouvelle-Aquitaine,2020-03-21,521,7
FRA-Nouvelle-Aquitaine,2020-03-22,612,8
FRA-Nouvelle-Aquitaine,2020-03-23,676,13
FRA-Nouvelle-Aquitaine,2020-03-24,789,16
FRA-Nouvelle-Aquitaine,2020-03-25,912,25
FRA-Auvergne-Rhône-Alpes,2020-03-08,146,1
FRA-Auvergne-Rhône-Alpes,2020-03-09,182,3
FRA-Auvergne-Rhône-Alpes,2020-03-10,227,3
FRA-Auvergne-Rhône-Alpes,2020-03-11,264,3
FRA-Auvergne-Rhône-Alpes,2020-03-12,333,7
FRA-Auvergne-Rhône-Alpes,2020-03-14,454,12
FRA-Auvergne-Rhône-Alpes,2020-03-15,523,18
FRA-Auvergne-Rhône-Alpes,2020-03-16,618,20
FRA-Auvergne-Rhône-Alpes,2020-03-17,710,24
FRA-Auvergne-Rhône-Alpes,2020-03-18,858,27
FRA-Auvergne-Rhône-Alpes,2020-03-19,1014,39
FRA-Auvergne-Rhône-Alpes,2020-03-20,1101,33
FRA-Auvergne-Rhône-Alpes,2020-03-21,1266,57
FRA-Auvergne-Rhône-Alpes,2020-03-22,1431,72
FRA-Auvergne-Rhône-Alpes,2020-03-23,1738,85
FRA-Auvergne-Rhône-Alpes,2020-03-24,1857,86
