location,time,cases,deaths,n
BRA-São Paulo,2020-03-17,164,1,10
BRA-São Paulo,2020-03-18,240,3,10
BRA-São Paulo,2020-03-19,286,5,10
BRA-São Paulo,2020-03-20,396,9,10
BRA-São Paulo,2020-03-21,396,15,10
BRA-São Paulo,2020-03-22,631,22,10
BRA-São Paulo,2020-03-23,745,30,10
BRA-São Paulo,2020-03-24,810,40,10
BRA-São Paulo,2020-03-25,862,48,10
BRA-São Paulo,2020-03-26,1052,58,10
FRA-Ile-de-France,2020-03-06,131,1,15
FRA-Ile-de-France,2020-03-07,161,1,15
FRA-Ile-de-France,2020-03-08,226,1,15
FRA-Ile-de-France,2020-03-09,283,1,15
FRA-Ile-de-France,2020-03-10,334,4,15
FRA-Ile-de-France,2020-03-11,512,4,15
FRA-Ile-de-France,2020-03-12,605,4,15
FRA-Ile-de-France,2020-03-18,2693,36,15
FRA-Ile-de-France,2020-03-19,3384,56,15
FRA-Ile-de-France,2020-03-20,3818,99,15
FRA-Ile-de-France,2020-03-21,4695,122,15
FRA-Ile-de-France,2020-03-22,5283,140,15
FRA-Ile-de-France,2020-03-23,6211,193,15
FRA-Ile-de-France,2020-03-24,6798,262,15
FRA-Ile-de-France,2020-03-25,7660,357,15
FRA-Nouvelle-Aquitaine,2020-03-15,152,2,11
FRA-Nouvelle-Aquitaine,2020-03-16,179,2,11
FRA-Nouvelle-Aquitaine,2020-03-17,207,2,11
FRA-Nouvelle-Aquitaine,2020-03-18,242,2,11
FRA-Nouvelle-Aquitaine,2020-03-19,305,3,11
FRA-Nouvelle-Aquitaine,2020-03-20,432,4,11
FRA-Nouvelle-Aquitaine,2020-03-21,521,7,11
FRA-Nouvelle-Aquitaine,2020-03-22,612,8,11
FRA-Nouvelle-Aquitaine,2020-03-23,676,13,11
FRA-Nouvelle-Aquitaine,2020-03-24,789,16,11
FRA-Nouvelle-Aquitaine,2020-03-25,912,25,11
FRA-Auvergne-Rhône-Alpes,2020-03-08,146,1,17
FRA-Auvergne-Rhône-Alpes,2020-03-09,182,3,17
FRA-Auvergne-Rhône-Alpes,2020-03-10,227,3,17
FRA-Auvergne-Rhône-Alpes,2020-03-11,264,3,17
FRA-Auvergne-Rhône-Alpes,2020-03-12,333,7,17
FRA-Auvergne-Rhône-Alpes,2020-03-14,454,12,17
FRA-Auvergne-Rhône-Alpes,2020-03-15,523,18,17
FRA-Auvergne-Rhône-Alpes,2020-03-16,618,20,17
FRA-Auvergne-Rhône-Alpes,2020-03-17,710,24,17
FRA-Auvergne-Rhône-Alpes,2020-03-18,858,27,17
FRA-Auvergne-Rhône-Alpes,2020-03-19,1014,39,17
FRA-Auvergne-Rhône-Alpes,2020-03-20,1101,33,17
FRA-Auvergne-Rhône-Alpes,2020-03-21,1266,57,17
FRA-Auvergne-Rhône-Alpes,2020-03-22,1431,72,17
FRA-Auvergne-Rhône-Alpes,2020-03-23,1738,85,17
FRA-Auvergne-Rhône-Alpes,2020-03-24,1857,86,17
FRA-Auvergne-Rhône-Alpes,2020-03-25,2093,107,17
FRA-Bourgogne-Franche-Comté,2020-03-10,147,1,16
FRA-Bourgogne-Franche-Comté,2020-03-11,165,3,16
FRA-Bourgogne-Franche-Comté,2020-03-12,219,5,16
FRA-Bourgogne-Franche-Comté,2020-03-13,272,5,16
FRA-Bourgogne-Franche-Comté,2020-03-14,340,6,16
FRA-Bourgogne-Franche-Comté,2020-03-15,412,6,16
FRA-Bourgogne-Franche-Comté,2020-03-16,507,6,16
FRA-Bourgogne-Franche-Comté,2020-03-17,549,10,16
FRA-Bourgogne-Franche-Comté,2020-03-18,593,20,16
FRA-Bourgogne-Franche-Comté,2020-03-19,696,23,16
FRA-Bourgogne-Franche-Comté,2020-03-20,770,28,16
FRA-Bourgogne-Franche-Comté,2020-03-21,903,36,16
FRA-Bourgogne-Franche-Comté,2020-03-22,1178,51,16
FRA-Bourgogne-Franche-Comté,2020-03-23,1347,62,16
FRA-Bourgogne-Franche-Comté,2020-03-24,1510,86,16
FRA-Bourgogne-Franche-Comté,2020-03-25,1569,102,16
FRA-Hauts-de-France,2020-02-26,2,1,17
FRA-Hauts-de-France,2020-03-05,74,4,17
FRA-Hauts-de-France,2020-03-09,181,15,17
FRA-Hauts-de-France,2020-03-10,222,16,17
FRA-Hauts-de-France,2020-03-12,349,20,17
FRA-Hauts-de-France,2020-03-13,397,26,17
FRA-Hauts-de-France,2020-03-14,466,29,17
FRA-Hauts-de-France,2020-03-16,587,39,17
FRA-Hauts-de-France,2020-03-17,613,46,17
FRA-Hauts-de-France,2020-03-18,668,55,17
FRA-Hauts-de-France,2020-03-19,719,69,17
FRA-Hauts-de-France,2020-03-20,759,81,17
FRA-Hauts-de-France,2020-03-21,856,91,17
FRA-Hauts-de-France,2020-03-22,943,97,17
FRA-Hauts-de-France,2020-03-23,1287,108,17
FRA-Hauts-de-France,2020-03-24,1532,123,17
FRA-Hauts-de-France,2020-03-25,1753,137,17
FRA-Grand-Est,2020-03-08,262,3,17
FRA-Grand-Est,2020-03-09,310,4,17
FRA-Grand-Est,2020-03-10,464,5,17
FRA-Grand-Est,2020-03-11,587,9,17
FRA-Grand-Est,2020-03-13,911,21,17
FRA-Grand-Est,2020-03-14,1085,24,17
FRA-Grand-Est,2020-03-15,1378,45,17
FRA-Grand-Est,2020-03-16,1543,51,17
FRA-Grand-Est,2020-03-17,1820,61,17
FRA-Grand-Est,2020-03-18,2163,120,17
FRA-Grand-Est,2020-03-19,2643,148,17
FRA-Grand-Est,2020-03-20,3006,183,17
FRA-Grand-Est,2020-03-21,3089,230,17
FRA-Grand-Est,2020-03-22,3395,252,17
FRA-Grand-Est,2020-03-23,4256,335,17
FRA-Grand-Est,2020-03-24,4922,407,17
FRA-Grand-Est,2020-03-25,5479,506,17
FRA-Normandie,2020-03-07,11,1,17
FRA-Normandie,2020-03-08,22,1,17
FRA-Normandie,2020-03-09,25,1,17
FRA-Normandie,2020-03-10,39,1,17
FRA-Normandie,2020-03-11,57,1,17
FRA-Normandie,2020-03-12,68,1,17
FRA-Normandie,2020-03-13,97,1,17
FRA-Normandie,2020-03-14,127,1,17
FRA-Normandie,2020-03-15,143,1,17
FRA-Normandie,2020-03-18,208,3,17
FRA-Normandie,2020-03-19,241,5,17
FRA-Normandie,2020-03-20,287,7,17
FRA-Normandie,2020-03-21,345,7,17
FRA-Normandie,2020-03-22,462,9,17
FRA-Normandie,2020-03-23,511,10,17
FRA-Normandie,2020-03-24,586,16,17
FRA-Normandie,2020-03-25,688,19,17
FRA-Bretagne,2020-03-11,94,1,15
FRA-Bretagne,2020-03-12,120,3,15
FRA-Bretagne,2020-03-13,157,3,15
FRA-Bretagne,2020-03-14,182,3,15
FRA-Bretagne,2020-03-15,207,3,15
FRA-Bretagne,2020-03-16,233,3,15
FRA-Bretagne,2020-03-17,247,3,15
FRA-Bretagne,2020-03-18,273,7,15
FRA-Bretagne,2020-03-19,297,10,15
FRA-Bretagne,2020-03-20,346,12,15
FRA-Bretagne,2020-03-21,359,15,15
FRA-Bretagne,2020-03-22,446,17,15
FRA-Bretagne,2020-03-23,490,23,15
FRA-Bretagne,2020-03-24,526,25,15
FRA-Bretagne,2020-03-25,603,28,15
FRA-Occitanie,2020-03-15,254,1,11
FRA-Occitanie,2020-03-16,284,3,11
FRA-Occitanie,2020-03-17,313,5,11
FRA-Occitanie,2020-03-18,389,10,11
FRA-Occitanie,2020-03-19,472,17,11
FRA-Occitanie,2020-03-20,537,23,11
FRA-Occitanie,2020-03-21,611,27,11
FRA-Occitanie,2020-03-22,671,30,11
FRA-Occitanie,2020-03-23,781,32,11
FRA-Occitanie,2020-03-24,900,40,11
FRA-Occitanie,2020-03-25,1082,46,11
FRA-Corse,2020-03-09,38,1,16
FRA-Corse,2020-03-10,42,2,16
FRA-Corse,2020-03-11,51,3,16
